Diederichs Lab - RNA Biology & Cancer 
 German Cancer Research Center (DKFZ) - Heidelberg - Germany 
 http://r-deep.dkfz.de 
 Caudron-Herger et al. 2019 Molecular Cell 75 1-16 
 June 30 2022 
 
"Entry_Name","Uniprot_ID","Gene_Name","Times_Listed_as_RBP","R_DeeP_shift","Baltz_2012","Castello_2012","Beckmann_2015","Castello_2016","Conrad_2016","Mullari_2017","Bao_2018","Perez_Perri_2018","Trendel_2018","Gene_Ontology_RNA_Binding","Cook_2011","Kwon_2013","Ray_2013","Gerstberger_2014","He_2016","Hendrickson_2016","Sundararaman_2016","Brannan_2016","Treiber_2017"
"LARP7_HUMAN","Q4G0J3","LARP7",15," ","X","X","X"," "," ","X","X","X","X","X","X","X","X","X"," "," ","X","X","X"
"NOL8_HUMAN","Q76FK4","NOL8",15,"X","X","X","X"," ","X","X"," ","X","X","X","X","X","X","X","X"," ","X","X"," "
"PCBP1_HUMAN","Q15365","PCBP1",15,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X"," "," "
"PCBP2_HUMAN","Q15366","PCBP2",15,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X"," "," "
"PDIP3_HUMAN","Q9BY77","POLDIP3",15,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X"," "," "
"PPIL4_HUMAN","Q8WUA2","PPIL4",15,"X","X","X","X","X","X","X","X"," ","X","X","X","X","X","X"," "," ","X","X"," "
"PTCD3_HUMAN","Q96EY7","PTCD3",15,"X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X","X"," "," ","X","X"
"RB15B_HUMAN","Q8NDT2","RBM15B",15," ","X","X","X","X","X","X","X","X","X","X","X"," ","X","X"," "," ","X","X"," "
"RBM4_HUMAN","Q9BWF3","RBM4",15,"X","X","X","X","X"," ","X","X","X","X","X","X"," ","X","X"," "," ","X","X","X"
"RBM4B_HUMAN","Q9BQ04","RBM4B",15,"X","X","X","X"," ","X","X"," ","X","X","X","X","X","X","X"," "," ","X","X","X"
"RBM6_HUMAN","P78332","RBM6",15,"X","X","X","X"," ","X","X","X","X","X","X","X"," ","X","X"," "," ","X","X","X"
"RBMS2_HUMAN","Q15434","RBMS2",15," ","X","X","X","X"," ","X","X"," ","X","X","X","X","X","X"," "," ","X","X","X"
"RBMX_HUMAN","P38159","RBMX",15,"X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X"," "," ","X","X"," "
"RBP56_HUMAN","Q92804","TAF15",15,"X","X","X","X","X","X"," ","X","X","X","X","X"," ","X","X","X"," ","X"," ","X"
"RRP5_HUMAN","Q14690","PDCD11",15,"X"," ","X"," ","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X","X"
"RU17_HUMAN","P08621","SNRNP70",15,"X","X","X","X"," "," ","X","X","X","X","X","X","X","X","X","X"," ","X","X"," "
"SF3A1_HUMAN","Q15459","SF3A1",15,"X","X","X","X"," "," ","X","X","X","X","X","X","X"," ","X","X"," ","X","X","X"
"SF3B1_HUMAN","O75533","SF3B1",15," ","X","X","X","X","X","X","X","X","X","X"," "," "," ","X","X"," ","X","X","X"
"SND1_HUMAN","Q7KZF4","SND1",15,"X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X","X"," ","X","X"," "
"SRRT_HUMAN","Q9BXP5","SRRT",15," ","X","X","X"," ","X","X","X","X","X","X","X","X","X","X","X"," "," ","X"," "
"SRS10_HUMAN","O75494","SRSF10",15,"X","X"," "," ","X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X"," "
"SRSF7_HUMAN","Q16629","SRSF7",15,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X"," "," "
"STRBP_HUMAN","Q96SI9","STRBP",15,"X","X","X","X","X","X","X","X","X","X","X"," "," "," ","X","X"," ","X","X","X"
"TSAP1_HUMAN","Q9NX07","TRNAU1AP",15," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," "," ","X"," "
"U2AF1_HUMAN","Q01081","U2AF1",15,"X","X","X","X","X","X","X","X"," ","X","X","X","X","X","X"," "," ","X","X"," "
"YBOX1_HUMAN","P67809","YBX1",15,"X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X"," "," "," ","X","X"
"ZC11A_HUMAN","O75152","ZC3H11A",15,"X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X"," "," ","X","X"
"ZCH18_HUMAN","Q86VM9","ZC3H18",15,"X","X","X","X"," ","X","X","X","X","X","X","X","X","X","X","X"," "," ","X"," "
"ZN638_HUMAN","Q14966","ZNF638",15,"X","X","X","X"," ","X","X","X","X","X","X","X"," ","X","X","X"," ","X","X"," "
"DDX10_HUMAN","Q13206","DDX10",14,"X","X","X","X"," ","X","X","X","X","X","X"," ","X"," ","X","X"," ","X","X"," "
"DDX17_HUMAN","Q92841","DDX17",14,"X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X","X"," ","X"," "," "
"DDX21_HUMAN","Q9NR30","DDX21",14,"X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X"," "," "," ","X","X"
"FAKD2_HUMAN","Q9NYY8","FASTKD2",14," ","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X"," "," ","X","X"," "
"FXR2_HUMAN","P51116","FXR2",14,"X","X","X","X","X"," "," ","X","X","X","X","X","X","X","X"," "," ","X","X"," "
"IF2A_HUMAN","P05198","EIF2S1",14,"X","X","X","X"," "," "," ","X","X","X","X","X","X","X","X","X"," ","X","X"," "
"ILF2_HUMAN","Q12905","ILF2",14,"X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X","X"," "," ","X"," "
"LN28B_HUMAN","Q6ZN17","LIN28B",14," ","X"," ","X","X","X","X"," "," ","X","X","X","X","X","X"," "," ","X","X","X"
"NOG1_HUMAN","Q9BZE4","GTPBP4",14,"X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X","X"," "," ","X"," "
"NOP2_HUMAN","P46087","NOP2",14,"X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X","X"," "," ","X"," "
"NOP56_HUMAN","O00567","NOP56",14,"X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X"," "," ","X","X"," "
"NOP58_HUMAN","Q9Y2X3","NOP58",14,"X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X"," "," ","X","X"," "
"NOP9_HUMAN","Q86U38","NOP9",14,"X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X"," "," "," ","X"," "
"PURA_HUMAN","Q00577","PURA",14,"X","X","X","X","X"," ","X","X","X","X","X"," ","X"," ","X"," "," ","X","X","X"
"PWP2_HUMAN","Q15269","PWP2",14,"X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X","X"," "," ","X"," "
"RAVR1_HUMAN","Q8IY67","RAVER1",14,"X","X","X","X"," ","X"," ","X","X","X","X","X","X","X","X","X"," ","X"," "," "
"RBM12_HUMAN","Q9NTZ6","RBM12",14," ","X","X","X"," ","X","X","X","X","X","X","X"," ","X","X"," "," ","X","X"," "
"RBM25_HUMAN","P49756","RBM25",14,"X","X","X","X"," "," ","X","X","X","X","X","X"," ","X","X","X"," ","X","X"," "
"RBM26_HUMAN","Q5T8P6","RBM26",14,"X","X","X","X"," "," ","X","X"," ","X","X","X","X","X","X","X"," ","X","X"," "
"RBM27_HUMAN","Q9P2N5","RBM27",14," ","X","X","X"," ","X","X","X"," ","X","X","X","X","X","X","X"," "," ","X"," "
"RBM38_HUMAN","Q9H0Z9","RBM38",14," ","X","X","X"," ","X","X"," ","X","X","X","X","X","X","X"," "," ","X","X"," "
"RBM47_HUMAN","A0AV96","RBM47",14,"X","X","X","X","X","X"," ","X"," ","X","X","X","X","X","X"," "," ","X"," ","X"
"RBMS1_HUMAN","P29558","RBMS1",14," ","X","X","X"," "," ","X"," ","X","X","X","X","X","X","X"," "," ","X","X","X"
"RENT1_HUMAN","Q92900","UPF1",14,"X","X","X","X","X"," ","X","X","X","X","X","X","X"," ","X"," "," "," ","X","X"
"RMXL1_HUMAN","Q96E39","RBMXL1",14,"X"," "," ","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X"," "
"RS3_HUMAN","P23396","RPS3",14,"X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X"," "," "," ","X"," "
"RTCB_HUMAN","Q9Y3I0","RTCB",14,"X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X","X"," "," "," ","X"
"SAFB2_HUMAN","Q14151","SAFB2",14,"X","X","X","X"," ","X","X","X","X","X","X","X"," ","X","X"," "," ","X","X"," "
"SF3A3_HUMAN","Q12874","SF3A3",14," ","X","X","X"," ","X","X","X","X","X","X"," ","X"," ","X","X"," "," ","X","X"
"SRRM2_HUMAN","Q9UQ35","SRRM2",14,"X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X"," "," ","X"," "
"SRSF2_HUMAN","Q01130","SRSF2",14,"X","X","X","X","X","X","X","X","X"," ","X","X","X","X","X"," "," ","X"," "," "
"SUGP2_HUMAN","Q8IX01","SUGP2",14,"X","X","X","X"," ","X","X","X","X","X","X","X"," "," ","X"," "," ","X","X","X"
"TAF12_HUMAN","Q16514","TAF12",14," ","X","X","X","X","X"," "," ","X","X","X","X"," ","X","X","X"," ","X"," ","X"
"Z3H7A_HUMAN","Q8IWR0","ZC3H7A",14," ","X","X","X","X","X"," ","X","X","X","X","X"," ","X","X"," "," ","X"," ","X"
"ZCHC3_HUMAN","Q9NUD5","ZCCHC3",14," ","X","X","X","X","X","X","X","X","X","X"," "," ","X","X"," "," ","X","X"," "
"ANR17_HUMAN","O75179","ANKRD17",13,"X"," ","X","X"," "," ","X","X","X","X","X","X","X","X","X"," "," ","X","X"," "
"BCLF1_HUMAN","Q9NYF8","BCLAF1",13,"X","X","X","X"," ","X","X","X","X","X","X"," ","X"," ","X","X"," "," ","X"," "
"BMS1_HUMAN","Q14692","BMS1",13,"X","X","X","X","X","X","X","X","X","X","X"," "," "," ","X","X"," "," ","X"," "
"CELF2_HUMAN","O95319","CELF2",13,"X","X"," "," "," ","X","X"," ","X","X","X","X","X","X","X","X"," ","X"," ","X"
"CNBP_HUMAN","P62633","CNBP",13," ","X","X","X","X","X"," "," ","X","X","X"," ","X","X","X"," "," ","X","X"," "
"DDX18_HUMAN","Q9NVP1","DDX18",13,"X","X","X","X"," ","X","X","X","X","X","X"," ","X"," ","X"," "," ","X","X"," "
"DDX24_HUMAN","Q9GZR7","DDX24",13,"X","X","X","X"," ","X","X","X","X","X","X"," ","X"," ","X"," "," ","X","X"," "
"DDX3X_HUMAN","O00571","DDX3X",13,"X","X","X"," "," ","X","X","X","X","X","X"," ","X"," ","X","X"," ","X"," ","X"
"DDX42_HUMAN","Q86XP3","DDX42",13," ","X"," ","X"," ","X","X","X","X","X","X"," ","X"," ","X","X"," ","X","X"," "
"DDX50_HUMAN","Q9BQ39","DDX50",13,"X","X","X","X","X","X","X","X","X","X","X"," "," "," ","X"," "," ","X","X"," "
"DDX51_HUMAN","Q8N8A6","DDX51",13,"X","X","X","X"," ","X","X","X","X","X","X"," ","X"," ","X"," "," ","X","X"," "
